,metrics.tp,metrics.precision,metrics.tn,metrics.fp,metrics.fn,metrics.specificity,metrics.recall,metrics.fscore,params.model,params.decision,hight_threshold,s_t,T,th
45,2.0,1.0,300.0,0.0,298.0,1.0,0.006666666666666667,0.013245033112582783,"{'_target_': 'src.models.midv_baseline.MIDVBaseline', 'hight_threshold': 240, 's_t': 30, 'T': 210}","{'_target_': 'src.decision.cumulative.Cumulative', 'th': 0.02}",240,30,210,0.02
46,0.0,0.0,300.0,0.0,300.0,1.0,0.0,0.0,"{'_target_': 'src.models.midv_baseline.MIDVBaseline', 'hight_threshold': 240, 's_t': 30, 'T': 210}","{'_target_': 'src.decision.cumulative.Cumulative', 'th': 0.01}",240,30,210,0.01
47,101.0,0.8211382113821138,278.0,22.0,199.0,0.9266666666666666,0.33666666666666667,0.4775413711583925,"{'_target_': 'src.models.midv_baseline.MIDVBaseline', 'hight_threshold': 240, 's_t': 50, 'T': 180}","{'_target_': 'src.decision.cumulative.Cumulative', 'th': 0.02}",240,50,180,0.02
48,97.0,0.8508771929824561,283.0,17.0,203.0,0.9433333333333334,0.3233333333333333,0.46859903381642515,"{'_target_': 'src.models.midv_baseline.MIDVBaseline', 'hight_threshold': 240, 's_t': 40, 'T': 180}","{'_target_': 'src.decision.cumulative.Cumulative', 'th': 0.03}",240,40,180,0.03
49,33.0,0.8918918918918919,296.0,4.0,267.0,0.9866666666666667,0.11,0.19584569732937684,"{'_target_': 'src.models.midv_baseline.MIDVBaseline', 'hight_threshold': 240, 's_t': 50, 'T': 190}","{'_target_': 'src.decision.cumulative.Cumulative', 'th': 0.01}",240,50,190,0.01
50,123.0,0.803921568627451,270.0,30.0,177.0,0.9,0.41,0.543046357615894,"{'_target_': 'src.models.midv_baseline.MIDVBaseline', 'hight_threshold': 240, 's_t': 50, 'T': 170}","{'_target_': 'src.decision.cumulative.Cumulative', 'th': 0.02}",240,50,170,0.02
51,13.0,0.9285714285714286,299.0,1.0,287.0,0.9966666666666667,0.043333333333333335,0.08280254777070063,"{'_target_': 'src.models.midv_baseline.MIDVBaseline', 'hight_threshold': 240, 's_t': 30, 'T': 200}","{'_target_': 'src.decision.cumulative.Cumulative', 'th': 0.03}",240,30,200,0.03
52,1.0,1.0,300.0,0.0,299.0,1.0,0.0033333333333333335,0.006644518272425249,"{'_target_': 'src.models.midv_baseline.MIDVBaseline', 'hight_threshold': 240, 's_t': 40, 'T': 200}","{'_target_': 'src.decision.cumulative.Cumulative', 'th': 0.01}",240,40,200,0.01
53,4.0,1.0,300.0,0.0,296.0,1.0,0.013333333333333334,0.02631578947368421,"{'_target_': 'src.models.midv_baseline.MIDVBaseline', 'hight_threshold': 240, 's_t': 30, 'T': 200}","{'_target_': 'src.decision.cumulative.Cumulative', 'th': 0.02}",240,30,200,0.02
54,32.0,0.8888888888888888,296.0,4.0,268.0,0.9866666666666667,0.10666666666666667,0.19047619047619047,"{'_target_': 'src.models.midv_baseline.MIDVBaseline', 'hight_threshold': 240, 's_t': 40, 'T': 190}","{'_target_': 'src.decision.cumulative.Cumulative', 'th': 0.02}",240,40,190,0.02
55,1.0,1.0,300.0,0.0,299.0,1.0,0.0033333333333333335,0.006644518272425249,"{'_target_': 'src.models.midv_baseline.MIDVBaseline', 'hight_threshold': 240, 's_t': 30, 'T': 200}","{'_target_': 'src.decision.cumulative.Cumulative', 'th': 0.01}",240,30,200,0.01
56,44.0,0.88,294.0,6.0,256.0,0.98,0.14666666666666667,0.25142857142857145,"{'_target_': 'src.models.midv_baseline.MIDVBaseline', 'hight_threshold': 240, 's_t': 50, 'T': 180}","{'_target_': 'src.decision.cumulative.Cumulative', 'th': 0.01}",240,50,180,0.01
57,22.0,0.9565217391304348,299.0,1.0,278.0,0.9966666666666667,0.07333333333333333,0.13622291021671828,"{'_target_': 'src.models.midv_baseline.MIDVBaseline', 'hight_threshold': 240, 's_t': 30, 'T': 190}","{'_target_': 'src.decision.cumulative.Cumulative', 'th': 0.03}",240,30,190,0.03
58,208.0,0.7123287671232876,216.0,84.0,92.0,0.72,0.6933333333333334,0.7027027027027026,"{'_target_': 'src.models.midv_baseline.MIDVBaseline', 'hight_threshold': 240, 's_t': 50, 'T': 150}","{'_target_': 'src.decision.cumulative.Cumulative', 'th': 0.03}",240,50,150,0.03
59,113.0,0.8248175182481752,276.0,24.0,187.0,0.92,0.37666666666666665,0.517162471395881,"{'_target_': 'src.models.midv_baseline.MIDVBaseline', 'hight_threshold': 240, 's_t': 40, 'T': 170}","{'_target_': 'src.decision.cumulative.Cumulative', 'th': 0.03}",240,40,170,0.03
60,55.0,0.9322033898305084,296.0,4.0,245.0,0.9866666666666667,0.18333333333333332,0.3064066852367688,"{'_target_': 'src.models.midv_baseline.MIDVBaseline', 'hight_threshold': 240, 's_t': 40, 'T': 180}","{'_target_': 'src.decision.cumulative.Cumulative', 'th': 0.02}",240,40,180,0.02
61,9.0,1.0,300.0,0.0,291.0,1.0,0.03,0.058252427184466014,"{'_target_': 'src.models.midv_baseline.MIDVBaseline', 'hight_threshold': 240, 's_t': 30, 'T': 190}","{'_target_': 'src.decision.cumulative.Cumulative', 'th': 0.02}",240,30,190,0.02
62,8.0,1.0,300.0,0.0,292.0,1.0,0.02666666666666667,0.05194805194805195,"{'_target_': 'src.models.midv_baseline.MIDVBaseline', 'hight_threshold': 240, 's_t': 40, 'T': 190}","{'_target_': 'src.decision.cumulative.Cumulative', 'th': 0.01}",240,40,190,0.01
